Order Date,Category,Website,Condition,List Price Per Unit,Purchase Price Per Unit,Quantity,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Currency,Group Name
6/21/19,Baby Product,Amazon.com,new,$98.99 ,$69.95 ,1,$69.95 ,$0.00 ,$69.95 ,,,,USD,
6/26/19,Lawn & Patio,Amazon.com,new,$12.58 ,$12.13 ,1,$12.13 ,$0.00 ,$12.13 ,,,,USD,
6/26/19,Baby Product,Amazon.com,new,$20.99 ,$25.99 ,1,$25.99 ,$0.00 ,$25.99 ,,,,USD,
6/26/19,Lawn & Patio,Amazon.com,new,$7.75 ,$11.59 ,1,$11.59 ,$0.00 ,$11.59 ,,,,USD,
6/26/19,Baby Product,Amazon.com,new,$0.00 ,$10.19 ,1,$10.19 ,$0.00 ,$10.19 ,,,,USD,
6/26/19,Lawn & Patio,Amazon.com,new,$15.31 ,$9.74 ,1,$9.74 ,$0.58 ,$10.32 ,,,,USD,
6/26/19,Health and Beauty,Amazon.com,new,$5.99 ,$4.95 ,1,$4.95 ,$0.30 ,$5.25 ,,,,USD,
6/26/19,Health and Beauty,Amazon.com,new,$6.90 ,$5.90 ,1,$5.90 ,$0.35 ,$6.25 ,,,,USD,
6/26/19,Lawn & Patio,Amazon.com,new,$10.99 ,$10.99 ,1,$10.99 ,$0.66 ,$11.65 ,,,,USD,
6/26/19,Health and Beauty,Amazon.com,new,$29.99 ,$29.99 ,1,$29.99 ,$1.80 ,$31.79 ,,,,USD,
6/26/19,Office Product,Amazon.com,new,$0.00 ,$23.28 ,1,$23.28 ,$0.00 ,$23.28 ,,,,USD,
7/5/19,Baby Product,Amazon.com,new,$0.00 ,$69.00 ,1,$69.00 ,$0.00 ,$69.00 ,,,,USD,
7/7/19,Baby Product,Amazon.com,new,$45.00 ,$29.49 ,1,$29.49 ,$0.00 ,$29.49 ,,,,USD,
7/7/19,Baby Product,Amazon.com,new,$49.00 ,$39.20 ,1,$39.20 ,$0.00 ,$39.20 ,,,,USD,
7/7/19,Health and Beauty,Amazon.com,new,$30.00 ,$30.00 ,1,$30.00 ,$1.80 ,$31.80 ,,,,USD,
7/7/19,Health and Beauty,Amazon.com,new,$0.00 ,$13.99 ,2,$27.98 ,$0.00 ,$27.98 ,,,,USD,
7/10/19,Baby Product,Amazon.com,new,$0.00 ,$7.00 ,1,$7.00 ,$0.42 ,$7.42 ,,,,USD,
7/10/19,Baby Product,Amazon.com,new,$2.69 ,$6.95 ,1,$6.95 ,$0.00 ,$6.95 ,,,,USD,
7/10/19,Baby Product,Amazon.com,new,$7.55 ,$7.55 ,1,$7.55 ,$0.45 ,$8.00 ,,,,USD,
7/10/19,Baby Product,Amazon.com,new,$11.99 ,$9.99 ,1,$9.99 ,$0.00 ,$9.99 ,,,,USD,
7/10/19,Health and Beauty,Amazon.com,new,$15.99 ,$15.99 ,1,$15.99 ,$0.96 ,$16.95 ,,,,USD,
7/10/19,Misc.,Amazon.com,new,$18.00 ,$9.35 ,1,$9.35 ,$0.56 ,$9.91 ,,,,USD,
7/13/19,Health and Beauty,Amazon.com,new,$14.95 ,$12.71 ,1,$12.71 ,$0.00 ,$12.71 ,,,,USD,
7/13/19,Office Product,Amazon.com,new,$0.00 ,$55.99 ,1,$55.99 ,$0.00 ,$55.99 ,,,,USD,
7/13/19,Kitchen,Amazon.com,new,$29.99 ,$24.88 ,1,$24.88 ,$1.49 ,$26.37 ,,,,USD,
7/13/19,Kitchen,Amazon.com,new,$0.00 ,$22.99 ,1,$22.99 ,$0.00 ,$22.99 ,,,,USD,
7/13/19,Health and Beauty,Amazon.com,new,$7.00 ,$6.01 ,1,$6.01 ,$0.36 ,$6.37 ,,,,USD,
7/17/19,Baby Product,Amazon.com,new,$0.00 ,$16.99 ,1,$16.99 ,$0.00 ,$16.99 ,,,,USD,
7/19/19,Baby Product,Amazon.com,new,$7.99 ,$7.99 ,1,$7.99 ,$0.48 ,$8.47 ,,,,USD,
7/19/19,Baby Product,Amazon.com,new,$0.00 ,$11.99 ,1,$11.99 ,$0.00 ,$11.99 ,,,,USD,
7/19/19,Baby Product,Amazon.com,new,$21.99 ,$17.99 ,1,$17.99 ,$1.08 ,$19.07 ,,,,USD,
7/20/19,Health and Beauty,Amazon.com,new,$11.99 ,$8.98 ,1,$8.98 ,$0.54 ,$9.52 ,,,,USD,
7/20/19,,Amazon.com,new,$149.00 ,$59.99 ,1,$59.99 ,$0.00 ,$59.99 ,,,,USD,
7/20/19,Health and Beauty,Amazon.com,new,$13.99 ,$14.99 ,1,$14.99 ,$0.90 ,$15.89 ,,,,USD,
7/20/19,Health and Beauty,Amazon.com,new,$16.99 ,$5.99 ,1,$5.99 ,$0.00 ,$5.99 ,,,,USD,
7/23/19,Lawn & Patio,Amazon.com,new,$22.49 ,$27.26 ,1,$27.26 ,$0.00 ,$27.26 ,,,,USD,
7/25/19,,Amazon.com,new,$0.00 ,$19.90 ,1,$19.90 ,$0.00 ,$19.90 ,,,,USD,
7/25/19,Health and Beauty,Amazon.com,new,$9.49 ,$7.54 ,1,$7.54 ,$0.45 ,$7.99 ,,,,USD,
7/25/19,Misc.,Amazon.com,new,$38.99 ,$38.99 ,1,$38.99 ,$2.34 ,$41.33 ,,,,USD,
7/25/19,Misc.,Amazon.com,new,$0.00 ,$44.99 ,1,$44.99 ,$0.00 ,$44.99 ,,,,USD,
7/25/19,Health and Beauty,Amazon.com,new,$6.07 ,$5.38 ,1,$5.38 ,$0.00 ,$5.38 ,,,,USD,
7/25/19,Health and Beauty,Amazon.com,new,$13.96 ,$13.96 ,1,$13.96 ,$0.84 ,$14.80 ,,,,USD,
7/25/19,Misc.,Amazon.com,new,$0.00 ,$18.99 ,1,$18.99 ,$0.00 ,$18.99 ,,,,USD,
7/30/19,Grocery,Amazon.com,new,$14.49 ,$12.79 ,1,$12.79 ,$0.00 ,$12.79 ,,,,USD,
7/30/19,,Amazon.com,new,$0.00 ,$34.00 ,1,$34.00 ,$2.04 ,$36.04 ,,,,USD,
7/31/19,Misc.,Amazon.com,new,$19.99 ,$19.53 ,1,$19.53 ,$1.17 ,$20.70 ,,,,USD,
7/31/19,Baby Product,Amazon.com,new,$31.98 ,$27.99 ,1,$27.99 ,$1.68 ,$29.67 ,,,,USD,
7/31/19,Home,Amazon.com,new,$0.00 ,$16.99 ,1,$16.99 ,$0.00 ,$16.99 ,,,,USD,
7/31/19,Baby Product,Amazon.com,new,$0.00 ,$6.99 ,2,$13.98 ,$0.84 ,$14.82 ,,,,USD,
7/31/19,Baby Product,Amazon.com,new,$345.00 ,$199.99 ,1,$199.99 ,$12.00 ,$211.99 ,,,,USD,
7/31/19,Misc.,Amazon.com,new,$0.00 ,$13.98 ,1,$13.98 ,$0.00 ,$13.98 ,,,,USD,
8/1/19,Baby Product,Amazon.com,new,$24.99 ,$21.49 ,1,$21.49 ,$1.29 ,$22.78 ,,,,USD,
8/1/19,Baby Product,Amazon.com,new,$39.95 ,$39.95 ,1,$39.95 ,$2.40 ,$42.35 ,,,,USD,
8/1/19,Paperback,Amazon.com,new,$17.00 ,$10.48 ,1,$10.48 ,$0.63 ,$11.11 ,,,,USD,
8/1/19,Hardcover,Amazon.com,new,$26.00 ,$15.60 ,1,$15.60 ,$0.94 ,$16.54 ,,,,USD,
8/1/19,Hardcover,Amazon.com,new,$28.00 ,$13.34 ,1,$13.34 ,$0.80 ,$14.14 ,,,,USD,
8/3/19,Misc.,Amazon.com,new,$36.99 ,$36.99 ,1,$36.99 ,$2.22 ,$39.21 ,,,,USD,
8/3/19,Electronics,Amazon.com,new,$199.99 ,$174.99 ,1,$174.99 ,$10.50 ,$185.49 ,,,,USD,
8/4/19,Health and Beauty,Amazon.com,new,$8.22 ,$8.63 ,1,$8.63 ,$0.52 ,$9.15 ,,,,USD,
8/4/19,Baby Product,Amazon.com,new,$0.00 ,$22.65 ,1,$22.65 ,$0.00 ,$22.65 ,,,,USD,
8/8/19,Health and Beauty,Amazon.com,new,$6.07 ,$5.92 ,2,$11.84 ,$0.00 ,$11.84 ,,,,USD,
8/8/19,Baby Product,Amazon.com,new,$0.00 ,$19.99 ,1,$19.99 ,$0.00 ,$19.99 ,,,,USD,
8/8/19,,Amazon.com,new,$0.00 ,$22.95 ,1,$22.95 ,$0.00 ,$22.95 ,,,,USD,
8/8/19,Baby Product,Amazon.com,new,$0.00 ,$17.69 ,1,$17.69 ,$0.00 ,$17.69 ,,,,USD,
8/8/19,Health and Beauty,Amazon.com,new,$17.49 ,$17.49 ,1,$17.49 ,$0.00 ,$17.49 ,,,,USD,
8/8/19,Health and Beauty,Amazon.com,new,$10.25 ,$10.25 ,1,$10.25 ,$0.62 ,$10.87 ,,,,USD,
8/8/19,Health and Beauty,Amazon.com,new,$19.00 ,$13.35 ,1,$13.35 ,$0.00 ,$13.35 ,,,,USD,
8/8/19,Health and Beauty,Amazon.com,new,$0.00 ,$20.97 ,1,$20.97 ,$1.26 ,$22.23 ,,,,USD,
8/8/19,Health and Beauty,Amazon.com,new,$9.50 ,$9.83 ,1,$9.83 ,$0.57 ,$10.40 ,,,,USD,
8/8/19,Kitchen,Amazon.com,new,$7.99 ,$5.49 ,1,$5.49 ,$0.00 ,$5.49 ,,,,USD,
8/8/19,Misc.,Amazon.com,new,$0.00 ,$14.16 ,1,$14.16 ,$0.00 ,$14.16 ,,,,USD,
8/13/19,Health and Beauty,Amazon.com,new,$11.70 ,$11.70 ,1,$11.70 ,$0.70 ,$12.40 ,,,,USD,
8/13/19,Baby Product,Amazon.com,new,$10.99 ,$10.08 ,1,$10.08 ,$0.61 ,$10.69 ,,,,USD,
8/13/19,Health and Beauty,Amazon.com,new,$11.99 ,$8.98 ,1,$8.98 ,$0.54 ,$9.52 ,,,,USD,
8/14/19,Health and Beauty,Amazon.com,new,$17.99 ,$14.97 ,1,$14.97 ,$0.90 ,$15.87 ,,,,USD,
8/14/19,Health and Beauty,Amazon.com,new,$14.79 ,$10.41 ,1,$10.41 ,$0.00 ,$10.41 ,,,,USD,
8/14/19,Health and Beauty,Amazon.com,new,$24.99 ,$24.99 ,1,$24.99 ,$0.00 ,$24.99 ,,,,USD,
8/20/19,Toy,Amazon.com,new,$12.00 ,$8.09 ,1,$8.09 ,$0.49 ,$8.58 ,,,,USD,
8/23/19,Health and Beauty,Amazon.com,new,$31.96 ,$25.98 ,2,$51.96 ,$0.00 ,$51.96 ,,,,USD,
